Onset,Offset,MIDI number,Pitch name,Duration,Staff,Measure,Beat in Measure
255.5,256.0,49,C#3,0.5,1,63,3.5
255.5,256.0,52,E3,0.5,1,63,3.5
255.75,256.0,84,C6,0.25,0,63,3.75
256.0,256.5,54,F#3,0.5,1,64,0.0
256.0,256.5,52,E3,0.5,1,64,0.0
256.0,256.25,85,C#6,0.25,0,64,0.0
256.0,256.5,46,A#2,0.5,1,64,0.0
256.0,256.5,49,C#3,0.5,1,64,0.0
256.25,256.5,84,C6,0.25,0,64,0.25
256.5,257.0,46,A#2,0.5,1,64,0.5
256.5,257.0,54,F#3,0.5,1,64,0.5
256.5,257.0,52,E3,0.5,1,64,0.5
256.5,257.0,49,C#3,0.5,1,64,0.5
256.5,256.75,85,C#6,0.25,0,64,0.5
256.75,257.0,87,D#6,0.25,0,64,0.75
257.0,257.25,88,E6,0.25,0,64,1.0
257.25,257.5,87,D#6,0.25,0,64,1.25
257.5,257.75,85,C#6,0.25,0,64,1.5
257.5,258.0,46,A#2,0.5,1,64,1.5
257.5,258.0,52,E3,0.5,1,64,1.5
257.5,258.0,54,F#3,0.5,1,64,1.5
257.5,258.0,49,C#3,0.5,1,64,1.5
257.75,258.0,84,C6,0.25,0,64,1.75
258.0,258.5,52,E3,0.5,1,64,2.0
258.0,258.25,85,C#6,0.25,0,64,2.0
258.0,258.5,46,A#2,0.5,1,64,2.0
258.0,258.5,49,C#3,0.5,1,64,2.0
258.0,258.5,54,F#3,0.5,1,64,2.0
258.25,258.5,84,C6,0.25,0,64,2.25
258.5,259.0,46,A#2,0.5,1,64,2.5
258.5,259.0,49,C#3,0.5,1,64,2.5
258.5,259.0,52,E3,0.5,1,64,2.5
258.5,258.75,85,C#6,0.25,0,64,2.5
258.5,259.0,54,F#3,0.5,1,64,2.5
258.75,259.0,87,D#6,0.25,0,64,2.75
259.0,259.25,88,E6,0.25,0,64,3.0
259.25,259.5,87,D#6,0.25,0,64,3.25
259.5,260.0,46,A#2,0.5,1,64,3.5
259.5,259.75,88,E6,0.25,0,64,3.5
259.5,260.0,54,F#3,0.5,1,64,3.5
259.5,260.0,52,E3,0.5,1,64,3.5
259.5,260.0,49,C#3,0.5,1,64,3.5
259.75,260.0,85,C#6,0.25,0,64,3.75
260.0,260.5,71,B4,0.5,0,65,0.0
260.0,260.25,47,B2,0.25,1,65,0.0
260.0,260.5,83,B5,0.5,0,65,0.0
260.25,260.5,52,E3,0.25,1,65,0.25
260.5,261.0,71,B4,0.5,0,65,0.5
260.5,261.0,83,B5,0.5,0,65,0.5
260.5,260.75,56,G#3,0.25,1,65,0.5
260.75,261.0,59,B3,0.25,1,65,0.75
261.0,261.25,47,B2,0.25,1,65,1.0
261.0,261.5,68,G#4,0.5,0,65,1.0
261.0,261.5,80,G#5,0.5,0,65,1.0
261.25,261.5,52,E3,0.25,1,65,1.25
261.5,262.0,64,E4,0.5,0,65,1.5
261.5,262.0,76,E5,0.5,0,65,1.5
261.5,261.75,56,G#3,0.25,1,65,1.5
261.75,262.0,59,B3,0.25,1,65,1.75
262.0,262.5,88,E6,0.5,0,65,2.0
262.0,262.25,47,B2,0.25,1,65,2.0
262.0,262.5,76,E5,0.5,0,65,2.0
262.25,262.5,52,E3,0.25,1,65,2.25
262.5,263.0,88,E6,0.5,0,65,2.5
262.5,263.0,76,E5,0.5,0,65,2.5
262.5,262.75,56,G#3,0.25,1,65,2.5
262.75,263.0,59,B3,0.25,1,65,2.75
263.0,263.5,83,B5,0.5,0,65,3.0
263.0,263.5,71,B4,0.5,0,65,3.0
263.0,263.25,47,B2,0.25,1,65,3.0
263.25,263.5,52,E3,0.25,1,65,3.25
263.5,263.75,56,G#3,0.25,1,65,3.5
263.5,264.0,80,G#5,0.5,0,65,3.5
263.5,264.0,68,G#4,0.5,0,65,3.5
263.75,264.0,59,B3,0.25,1,65,3.75
264.0,264.25,47,B2,0.25,1,66,0.0
264.0,264.5,83,B5,0.5,0,66,0.0
264.0,264.5,71,B4,0.5,0,66,0.0
264.25,264.5,52,E3,0.25,1,66,0.25
264.5,265.0,71,B4,0.5,0,66,0.5
264.5,265.0,83,B5,0.5,0,66,0.5
264.5,264.75,56,G#3,0.25,1,66,0.5
264.75,265.0,59,B3,0.25,1,66,0.75
265.0,265.25,47,B2,0.25,1,66,1.0
265.0,265.5,68,G#4,0.5,0,66,1.0
265.0,265.5,80,G#5,0.5,0,66,1.0
265.25,265.5,52,E3,0.25,1,66,1.25
265.5,266.0,64,E4,0.5,0,66,1.5
265.5,266.0,76,E5,0.5,0,66,1.5
265.5,265.75,56,G#3,0.25,1,66,1.5
265.75,266.0,59,B3,0.25,1,66,1.75
266.0,266.5,76,E5,0.5,0,66,2.0
266.0,266.5,88,E6,0.5,0,66,2.0
266.0,266.5,56,G#3,0.5,1,66,2.0
266.5,267.0,88,E6,0.5,0,66,2.5
266.5,267.0,76,E5,0.5,0,66,2.5
266.5,267.0,56,G#3,0.5,1,66,2.5
